('funniest', 'likeable'):2
('happy', 'hour'):2
('movie', 'experience'):2
('handed', 'down'):2
('namesake', 'proud'):2
('gorgeous', 'visuals'):2
('beautifully', 'crafted'):2
('has', 'turned'):2
('fascinating', 'profile'):2
('world', 'outstanding'):2
('constructed', 'entertaining'):2
('pretty', 'damned'):2
('creepy', 'stories'):4
('known', 'creation'):2
('timing', 'raffish'):2
('harrowing', 'uplifting'):2
('family', 'fundamentals'):2
('blend', 'counter'):2
('ourselves', 'surprised'):2
('minutes', 'phenomenal'):2
('snappy', 'dialogue'):2
('battle', 'scenes'):2
('worry', 'anyone'):2
('love', 'communal'):2
('masterpiece', 'goosebumps'):2
('base', 'melodrama'):2
('line', 's'):2
('like', 'those'):4
('documenting', 'hugely'):2
('bittersweet', 'contemporary'):2
('spell', 'mel'):2
('sometimes', 'hilarious'):2
('apocalypse', 'movies'):2
('evocative', 'film'):2
('treatment', 'greene'):2
('atmosphere', 'crime'):2
('great', 'films'):2
('intense', 'indoor'):2
('strange', 'movie'):2
('stone', 'iii'):2
('shudder', 'tremble'):2
('romantic', 'exceptionally'):2
('still', 'very'):2
('age', 'dashing'):2
('territory', 'wit'):2
('s', 'witnessed'):2
('levy', 'like'):2
('documentary', 'powerful'):2
('debut', 'chaiken'):2
('greene', 's'):2
('viewers', 'guessing'):2
('gem', 'sobering'):2
('pleasing', 'best'):2
('watching', 'spy'):2
('intelligent', 'deeply'):2
('iii', 'applies'):2
('best', 'moments'):2
('energy', 's'):2
('summer', 's'):2
('original', 'frailty'):2
('surprisingly', 'touching'):2
('creates', 'portrait'):2
('s', 'dry'):2
('deeply', 'exceptional'):2
('good', 'performances'):2
('s', 'simultaneously'):2
('beneath', 'prim'):2
('depth', 'far'):2
('hilarious', 'follow'):2
('comic', 'timing'):2
('impeccable', 'comic'):2
('seeing', 'full'):2
('explores', 'monster'):2
('remarkably', 'original'):2
('superb', 'performances'):2
('story', 'capture'):2
('spirited', 'imaginative'):2
('unabashedly', 'romantic'):2
('funny', 'stuff'):2
('standout', 'performance'):2
('family', 'comedy'):2
('entertaining', 'had'):2
('picture', 'funny'):2
('clever', 'suspenseful'):3
('features', 'standout'):2
('chief', 'film'):2
('charisma', 'delightfully'):2
('thirteen', 'conversations'):2
('pathology', 'evolved'):2
('sand', 'fierce'):2
('makes', 'each'):2
('playful', 'spirit'):2
('beat', 'flat'):2
('romantic', 'comedy'):2
('film', 'genuine'):2
('best', 'known'):2
('certainly', 'delivers'):2
('bigelow', 'demonstrates'):2
('amaze', 'brilliant'):2
('comedy', 'does'):2
('until', 'find'):2
('delivers', 'goods'):3
('knew', 'existed'):2
('film', 'does'):3
('grim', 'portrait'):2
('burning', 'man'):2
('male', 'persona'):2
('add', 'slice'):2
('fascinating', 'documentary'):2
('sacrifice', 'christian'):2
('much', 'like'):4
('grandparents', 'never'):2
('sobering', 'powerful'):2
('scenes', 'cussing'):2
('playful', 'fellow'):2
('s', 'pleasurable'):2
('little', 'girl'):2
('thriller', 'incredibly'):2
('humor', 'itself'):2
('real', 'americans'):2
('shoots', 'scores'):2
('proves', 'simultaneously'):2
('lilo', 'stitch'):2
('satisfying', 'very'):2
('portrait', 'strong'):2
('across', 'pat'):2
('always', 'surprising'):2
('stooping', 'base'):2
('visuals', 'frailty'):2
('admirable', 'sometimes'):2
('has', 'been'):2
('bruce', 'mcculloch'):2
('life', 'never'):2
('fun', 'full'):2
('midnight', 'telling'):4
('ambiguous', 'enough'):2
('has', 'created'):2
('film', 'bring'):2
('intellect', 'good'):2
('undeniably', 'fascinating'):2
('multiplex', 'lilo'):2
('himself', 'neither'):2
('often', 'hilarious'):3
('without', 'stooping'):2
('not', 'rival'):2
('comfort', 'creates'):2
('deception', 'while'):2
('great', 'film'):2
('monster', 's'):2
('covers', 'territory'):2
('commands', 'interest'):2
('phenomenal', 'band'):2
('female', 'friendship'):2
('visceral', 'spiritual'):2
('job', 'updating'):2
('gibson', 'gasp'):2
('has', 'great'):2
('fierce', 'grandeur'):2
('remains', 'surprisingly'):2
('tale', 'love'):2
('proves', 'director'):2
('engrossing', 'grim'):2
('psychology', 'not'):2
('around', 'campfire'):4
('goosebumps', 'uncanny'):2
('music', 'documentary'):2
('glides', 'gracefully'):2
('each', 'willies'):4
('suspense', 'great'):2
('imaginative', 'kid'):2
('s', 'music'):2
('within', 'wallflower'):2
('film', 'female'):2
('rival', 'filmmaker'):2
('par', 'slickest'):2
('pleasurable', 'movies'):2
('three', 'decades'):2
('not', 'satisfied'):2
('conversations', 'thing'):2
('innocence', 'budding'):2
('many', 'effective'):2
('consistently', 'delightful'):2
('outing', 'france'):2
('vulgarity', 'sex'):2
('nomination', 'best'):2
('never', 'forget'):2
('around', 'midnight'):4
('prevails', 'fascinating'):2
('afraid', 'best'):2
('female', 'without'):2
('damned', 'funny'):2
('thing', 'small'):2
('goods', 'thoroughly'):2
('good', 'family'):2
('decades', 'ago'):2
('telling', 'heart'):2
('detail', 'propels'):2
('infidelity', 'drama'):2
('film', 'three'):2
('seas', 'sand'):2
