('funniest', 'likeable')
('happy', 'hour')
('movie', 'experience')
('handed', 'down')
('pitfalls', 'incoherence')
('namesake', 'proud')
('capture', 'minds')
('beautifully', 'crafted')
('*', 'take')
('has', 'turned')
('project', '#')
('crawl', 'own')
('intense', 'indoor')
('*', 'flat')
('*', 'impeccable')
('pleasing', 'best')
('creepy', 'stories')
('known', 'creation')
('*', 'long')
('bored', '#')
('witch', 'project')
('harrowing', 'uplifting')
('family', 'fundamentals')
('blend', 'counter')
('ourselves', 'surprised')
('sun', 'good')
('*', 'goes')
('sense', 'humor')
('*', 'beautifully')
('snappy', 'dialogue')
('squandering', 'four')
('battle', 'scenes')
('worry', 'anyone')
('performance', '#')
('unfolds', '#')
('masterpiece', 'goosebumps')
('company', '#')
('base', 'melodrama')
('line', 's')
('like', 'those')
('*', 'dialogue')
('*', 'footage')
('idea', 'narrative')
('twisted', '#')
('girl', '#')
('impossible', 'care')
('long', 'end')
('film', '#')
('emotional', 'pedigree')
('fascinating', 'profile')
('slickest', 'mamet')
('apocalypse', 'movies')
('here', 'load')
('creeps', 'revolution')
('atmosphere', 'crime')
('great', 'films')
('four', 'fine')
('*', 'director')
('hip', 'hop')
('strange', 'movie')
('*', 'splendid')
('faithful', '#')
('mind', 'numbingly')
('god', 'stuck')
('inventive', 'directors')
('latter', 's')
('s', 'witnessed')
('*', 'luminous')
('complete', 'soothing')
('slapdash', 'sequel')
('*', 'put')
('levy', 'like')
('frequently', 'hilarious')
('debut', 'chaiken')
('greene', 's')
('three', 'days')
('without', 'losing')
('predictable', 'narrative')
('created', 'brilliant')
('pretty', 'damned')
('celluloid', 'litmus')
('exercise', 'gorgeous')
('iii', 'applies')
('*', 'always')
('best', 'moments')
('energy', 's')
('summer', 's')
('interest', 'almost')
('original', 'frailty')
('surprisingly', 'touching')
('creates', 'portrait')
('echelons', 'directing')
('s', 'remarkably')
('goes', 'nowhere')
('masterpiece', 'triumph')
('creativity', '#')
('*', 'brilliant')
('s', 'simultaneously')
('*', 'finds')
('film', 'female')
('worse', 'stunt')
('beneath', 'prim')
('adventure', 'wonderful')
('poorly', 'paced')
('*', 'delightfully')
('spectacular', '#')
('*', 'commands')
('prevails', '#')
('*', 'tale')
('comic', 'timing')
('impeccable', 'comic')
('*', 'phenomenal')
('tang', 'between')
('explores', 'monster')
('*', 'poorly')
('remarkably', 'original')
('*', 'movie')
('*', 'bad')
('story', 'capture')
('spirited', 'imaginative')
('unabashedly', 'romantic')
('wit', 'new')
('standout', 'performance')
('*', 'engages')
('family', 'comedy')
('timing', 'raffish')
('clever', 'suspenseful')
('*', 'spider')
('features', 'standout')
('often', 'hilarious')
('broiling', 'sun')
('reckless', 'squandering')
('*', 'builds')
('bliss', '#')
('makes', 'each')
('imax', '#')
('barely', 'shocking')
('almost', 'every')
('s', 'rushed')
('beautifully', 'made')
('romantic', 'comedy')
('*', 'telling')
('*', 's')
('collection', '#')
('*', 'powerful')
('pootie', 'tang')
('ingenuity', '#')
('certainly', 'delivers')
('heart', '#')
('not', 'rival')
('stone', 'iii')
('*', 'witty')
('*', 'story')
('gem', '#')
('delivers', 'goods')
('humanistic', 'artist')
('*', 'thoroughly')
('pointless', '#')
('knew', 'existed')
('nonexistent', 'ideas')
('film', 'does')
('grim', 'portrait')
('male', 'persona')
('add', 'slice')
('subzero', 'version')
('fascinating', 'documentary')
('close', 'losing')
('*', 'uncommonly')
('much', 'like')
('perfect', 'performance')
('*', 'delivers')
('good', 'performances')
('sobering', 'powerful')
('scenes', 'cussing')
('editing', 'cheaper')
('s', 'pleasurable')
('demonstrates', 'vivid')
('s', 'barely')
('*', 'ultimately')
('portrays', 'frank')
('little', 'girl')
('picture', '#')
('humor', 'itself')
('made', 'someone')
('boring', 'obvious')
('real', 'americans')
('sequel', 'sake')
('film', 'through')
('*', 'interesting')
('proves', 'simultaneously')
('executed', 'spy')
('*', 'pitiful')
('more', 'detail')
('dentist', 's')
('harvard', 'horrible')
('across', 'pat')
('always', 'surprising')
('stooping', 'base')
('s', 'dreams')
('awe', 'inspiring')
('has', 'been')
('good', 'three')
('deeply', '#')
('bruce', 'mcculloch')
('let', 'alone')
('life', 'never')
('fun', 'full')
('charmer', '#')
('midnight', 'telling')
('studios', 'imagine')
('has', 'created')
('film', 'bring')
('fascinating', '#')
('*', 'nt')
('superb', 'performances')
('himself', 'neither')
('bad', 'operative')
('romantic', '#')
('without', 'stooping')
('phenomenal', 'band')
('bigelow', 'demonstrates')
('night', 'shyamalan')
('unrewarding', 'reckless')
('exterior', 'unabashedly')
('breathtaking', 'awe')
('deception', 'while')
('like', 'mike')
('great', 'film')
('monster', 's')
('does', 'rain')
('involving', 'aragorn')
('covers', 'territory')
('commands', 'interest')
('very', 'bad')
('female', 'friendship')
('visceral', 'spiritual')
('job', 'updating')
('gibson', 'gasp')
('*', 'draw')
('*', 'fascinating')
('energy', '#')
('fierce', 'grandeur')
('remains', 'surprisingly')
('beat', '#')
('tale', 'love')
('proves', 'director')
('assault', 'embarrassingly')
('sake', 'sequel')
('great', 'american')
('multiplex', '#')
('tale', 'has')
('psychology', 'not')
('around', 'campfire')
('conformity', '#')
('goosebumps', 'uncanny')
('music', 'documentary')
('glides', 'gracefully')
('each', 'willies')
('bittersweet', 'contemporary')
('imaginative', 'kid')
('gets', 'riled')
('right', '#')
('*', 'creates')
('rock', 'concert')
('has', 'great')
('world', '#')
('rival', 'filmmaker')
('style', '#')
('wallflower', '#')
('pleasurable', 'movies')
('movie', 'gods')
('*', 'time')
('three', 'decades')
('made', 'movie')
('not', 'satisfied')
('conversations', 'thing')
('innocence', 'budding')
('acting', 'talents')
('plot', '#')
('bittersweet', 'tears')
('*', 'new')
('nomination', 'best')
('structured', 'film')
('never', 'forget')
('material', '#')
('version', 'monsters')
('*', 'nomination')
('afraid', 'best')
('guide', 'loose')
('fellowship', '#')
('damned', 'funny')
('thing', 'small')
('garbage', '#')
('blair', 'witch')
('telling', '#')
('good', 'family')
('decades', 'ago')
('telling', 'heart')
('stanzas', 'breathtaking')
('detail', 'propels')
('crap', 'again')
('*', 'masterpiece')
('film', 'three')
('films', 'none')
('days', '#')
('treatment', 'greene')
('*', 'chilling')
('wit', 'originality')
('college', 'story')
('intellectual', 'emotional')
('admire', '#')
('soothing', 'muzak')
('powerful', 'moving')
('anything', '#')
('expected', '#')
('lovely', 'film')
('rhythms', '#')
('between', 'punchlines')
('dumbo', 'certainly')
('highly', 'spirited')
('acted', '#')
('busy', 'contriving')
('full', 'kind')
('solely', 'exercise')
('embarrassingly', 'ham')
('*', 'more')
('*', 'penetrating')
('*', 'ability')
('tedious', 'resolutely')
('spiritual', 'wonderfully')
('pedigree', 'date')
